,subID,sessions,sess_files,has_anat,has_func,sub_path,sub_sess_path,bids_path,bids_anat,bids_func,abide_id
0,sub-001,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033348,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033348/427149694_session_1,0,0,0,A00033348
1,sub-002,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033398,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033398/427121207_session_1,0,0,0,A00033398
2,sub-003,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033352,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033352/427124508_session_1,0,0,0,A00033352
3,sub-004,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033389,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033389/427169463_session_1,0,0,0,A00033389
4,sub-005,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033354,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033354/427140695_session_1,0,0,0,A00033354
5,sub-006,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033393,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033393/427179626_session_1,0,0,0,A00033393
6,sub-007,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033392,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033392/427149588_session_1,0,0,0,A00033392
7,sub-008,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033346,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033346/427199778_session_1,0,0,0,A00033346
8,sub-009,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033353,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033353/427156868_session_1,0,0,0,A00033353
9,sub-010,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033370,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033370/427159270_session_1,0,0,0,A00033370
10,sub-011,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033379,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033379/427158858_session_1,0,0,0,A00033379
11,sub-012,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033390,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033390/427130006_session_1,0,0,0,A00033390
12,sub-013,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033369,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033369/427203281_session_1,0,0,0,A00033369
13,sub-014,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033376,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033376/427161597_session_1,0,0,0,A00033376
14,sub-015,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033362,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033362/427193665_session_1,0,0,0,A00033362
15,sub-016,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033366,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033366/427112764_session_1,0,0,0,A00033366
16,sub-017,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033374,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033374/427201846_session_1,0,0,0,A00033374
17,sub-018,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033383,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033383/427177825_session_1,0,0,0,A00033383
18,sub-019,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033388,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033388/427194751_session_1,0,0,0,A00033388
19,sub-020,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033382,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033382/427148585_session_1,0,0,0,A00033382
20,sub-021,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033365,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033365/427182521_session_1,0,0,0,A00033365
21,sub-022,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033391,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033391/427127902_session_1,0,0,0,A00033391
22,sub-023,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033394,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033394/427155615_session_1,0,0,0,A00033394
23,sub-024,1,2,1,1,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033351,/gsfs0/data/aglinsai/fMRI_InData/abide/mpg/dicom/verio/mmilham/abide_28730/A00033351/427182102_session_1,0,0,0,A00033351
