,low,high
0,sub-811,sub-1048
1,sub-968,sub-549
2,sub-925,sub-548
3,sub-056,sub-1083
4,sub-037,sub-681
5,sub-306,sub-497
6,sub-796,sub-268
7,sub-1032,sub-317
8,sub-050,sub-296
9,sub-940,sub-282
10,sub-644,sub-616
11,sub-1034,sub-001
12,sub-445,sub-547
13,sub-217,sub-824
14,sub-1021,sub-749
15,sub-939,sub-608
16,sub-228,sub-1073
17,sub-309,sub-444
18,sub-302,sub-704
19,sub-637,sub-780
20,sub-251,sub-1066
21,sub-1022,sub-471
22,sub-286,sub-045
23,sub-081,sub-958
24,sub-011,sub-1070
25,sub-858,sub-863
26,sub-647,sub-989
27,sub-478,sub-288
28,sub-265,sub-1085
29,sub-032,sub-299
30,sub-630,sub-697
31,sub-017,sub-1077
32,sub-064,sub-554
33,sub-735,sub-762
34,sub-867,sub-028
35,sub-361,sub-753
36,sub-973,sub-489
37,sub-990,sub-1099
38,sub-344,sub-1072
39,sub-919,sub-484
40,sub-778,sub-552
41,sub-070,sub-238
42,sub-695,sub-310
43,sub-621,sub-005
44,sub-666,sub-448
45,sub-291,sub-618
46,sub-356,sub-274
47,sub-107,sub-571
48,sub-331,sub-241
49,sub-655,sub-841
