,low,high
0,sub-1049,sub-919
1,sub-1072,sub-1034
2,sub-1044,sub-748
3,sub-1058,sub-819
4,sub-017,sub-840
5,sub-1059,sub-891
6,sub-1070,sub-418
7,sub-1011,sub-777
8,sub-241,sub-332
9,sub-1048,sub-510
10,sub-930,sub-250
11,sub-933,sub-1055
12,sub-344,sub-909
13,sub-796,sub-914
14,sub-947,sub-756
15,sub-949,sub-886
16,sub-976,sub-786
17,sub-027,sub-772
18,sub-683,sub-907
19,sub-242,sub-887
20,sub-349,sub-487
21,sub-076,sub-522
22,sub-1009,sub-901
23,sub-1030,sub-774
24,sub-973,sub-899
25,sub-1025,sub-312
26,sub-694,sub-272
27,sub-711,sub-287
28,sub-1008,sub-570
29,sub-1033,sub-613
30,sub-826,sub-246
31,sub-977,sub-469
32,sub-831,sub-371
33,sub-032,sub-788
34,sub-321,sub-009
35,sub-1026,sub-309
36,sub-797,sub-757
37,sub-978,sub-827
38,sub-1035,sub-291
39,sub-807,sub-278
40,sub-024,sub-655
41,sub-1012,sub-755
42,sub-984,sub-053
43,sub-267,sub-279
44,sub-958,sub-513
45,sub-040,sub-770
46,sub-221,sub-378
47,sub-036,sub-737
48,sub-262,sub-428
49,sub-116,sub-716
