set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.000,9,0.000,0.000,1287,0.000,0.002,0.015,  5.37, 5.02,0.000, 27,-85,  2
,,,,,,0.033,0.143,  4.55, 4.32,0.000, 16,-23, 62
,,,,,,0.049,0.143,  4.43, 4.22,0.000, 19,-54, 45
,,0.181,0.344,125,0.115,0.080,0.181,  4.27, 4.08,0.000, 24,-40,-21
,,0.067,0.179,227,0.040,0.100,0.182,  4.20, 4.02,0.000,-61,-16, -1
,,0.246,0.366,96,0.163,0.269,0.398,  3.83, 3.69,0.000,-13,  4, 59
,,,,,,0.296,0.398,  3.79, 3.66,0.000, -7, 15, 54
,,0.593,0.709,21,0.517,0.415,0.447,  3.64, 3.52,0.000, -4, 52, -1
,,0.497,0.709,35,0.396,0.443,0.447,  3.61, 3.49,0.000,-36, 18,-29
,,0.617,0.709,18,0.552,0.514,0.479,  3.53, 3.42,0.000, -1,-47, 42
,,0.753,0.904,4,0.804,0.757,0.872,  3.26, 3.17,0.001,  4, 15, 51
,,0.797,0.917,1,0.917,0.806,0.944,  3.20, 3.11,0.001, -1,-47, 34
