set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.000,10,0.233,0.821,91,0.118,0.059,0.382,  4.86, 4.26,0.000, 47,   8, 31
,,0.380,0.821,56,0.213,0.121,0.401,  4.57, 4.05,0.000, 36, -16, 62
,,0.572,0.821,28,0.377,0.521,0.809,  3.84, 3.51,0.000,-19,-105,  5
,,,,,,0.700,0.809,  3.62, 3.33,0.000,-24, -99, 17
,,0.563,0.821,29,0.369,0.529,0.809,  3.83, 3.50,0.000, 30, -75,-15
,,0.725,0.821,12,0.575,0.636,0.809,  3.70, 3.40,0.000, 33,  21,-15
,,0.683,0.821,16,0.511,0.666,0.809,  3.66, 3.37,0.000, 33, -37,-12
,,,,,,0.744,0.809,  3.56, 3.29,0.001, 24, -30, -6
,,0.693,0.821,15,0.526,0.710,0.809,  3.61, 3.32,0.000,-61, -44, 11
,,0.850,0.900,2,0.846,0.803,0.843,  3.48, 3.22,0.001,-33, -99, -1
,,0.868,0.900,1,0.900,0.871,0.969,  3.37, 3.13,0.001,-30, -99,  8
,,0.868,0.900,1,0.900,0.887,0.969,  3.33, 3.10,0.001, 50,   8,-32
