,low,high
0,sub-489,sub-788
1,sub-821,sub-927
2,sub-749,sub-735
3,sub-321,sub-813
4,sub-762,sub-778
5,sub-733,sub-217
6,sub-831,sub-796
7,sub-753,sub-1020
8,sub-654,sub-484
9,sub-742,sub-850
10,sub-780,sub-248
11,sub-721,sub-756
12,sub-728,sub-418
13,sub-1077,sub-786
14,sub-618,sub-792
15,sub-747,sub-1022
16,sub-834,sub-1034
17,sub-077,sub-729
18,sub-771,sub-445
19,sub-608,sub-948
20,sub-711,sub-059
21,sub-715,sub-865
22,sub-827,sub-957
23,sub-1073,sub-737
24,sub-894,sub-394
25,sub-1090,sub-174
26,sub-028,sub-286
27,sub-547,sub-582
28,sub-377,sub-1016
29,sub-242,sub-171
30,sub-544,sub-942
31,sub-001,sub-452
32,sub-333,sub-064
33,sub-1067,sub-811
34,sub-282,sub-968
35,sub-238,sub-050
36,sub-626,sub-070
37,sub-958,sub-825
38,sub-662,sub-597
39,sub-513,sub-712
40,sub-840,sub-647
41,sub-239,sub-663
42,sub-824,sub-037
43,sub-819,sub-590
44,sub-805,sub-361
45,sub-296,sub-940
46,sub-1048,sub-873
47,sub-1063,sub-107
48,sub-767,sub-770
49,sub-704,sub-027
