,low,high
0,sub-1025,sub-380
1,sub-049,sub-402
2,sub-083,sub-871
3,sub-684,sub-862
4,sub-014,sub-405
5,sub-716,sub-371
6,sub-807,sub-246
7,sub-1049,sub-895
8,sub-830,sub-751
9,sub-755,sub-403
10,sub-505,sub-031
11,sub-073,sub-910
12,sub-475,sub-864
13,sub-457,sub-389
14,sub-1030,sub-909
15,sub-806,sub-291
16,sub-243,sub-891
17,sub-458,sub-857
18,sub-366,sub-872
19,sub-820,sub-884
20,sub-738,sub-879
21,sub-076,sub-880
22,sub-1081,sub-100
23,sub-875,sub-272
24,sub-062,sub-331
25,sub-461,sub-677
26,sub-648,sub-379
27,sub-359,sub-314
28,sub-634,sub-653
29,sub-347,sub-854
30,sub-116,sub-772
31,sub-763,sub-323
32,sub-965,sub-867
33,sub-345,sub-898
34,sub-573,sub-890
35,sub-543,sub-378
36,sub-446,sub-447
37,sub-1071,sub-562
38,sub-546,sub-245
39,sub-669,sub-687
40,sub-837,sub-712
41,sub-828,sub-676
42,sub-451,sub-706
43,sub-300,sub-1084
44,sub-258,sub-776
45,sub-800,sub-1021
46,sub-249,sub-1098
47,sub-564,sub-770
48,sub-545,sub-511
49,sub-536,sub-971
